circle_id	length	cluster_id
10_101667886_101676436	510	5
10_124940374_124943307	1185	4
10_124942457_124943307	1185	4
10_5785142_5800705	539	2
10_68468123_68470163	367	6
10_7243558_7285954	636	2
10_7797047_7802854	690	6
10_84371014_84373815	1856	5
11_103303093_103323990	246	4
11_121045674_121060085	634	6
11_130260856_130261929	1074	3
1_117402186_117405645	353	6
1_117402186_117414831	472	5
1_117402186_117420649	553	6
1_117402186_117442325	601	6
11_32927157_32935435	3968	1
11_33286413_33287511	1099	3
1_155438327_155439068	742	5
1_155438327_155459898	844	3
1_15872816_15876678	798	5
11_92352096_92355404	3309	1
1_20749723_20773610	655	6
12_116230533_116237705	238	4
12_1236769_1290012	429	5
1_224952670_224974153	682	6
1_224952670_225007544	777	6
12_46229153_46243314	522	5
1_247155566_247159813	2603	4
1_247156406_247159813	2603	4
12_69251129_69262562	754	6
12_69589485_69593613	485	5
12_95208843_95211267	2425	1
13_112516440_112527484	611	6
1_31915895_31919658	782	3
13_50927407_50949505	588	5
1_35358925_35361789	755	5
13_95757644_95763953	612	5
14_21503173_21503881	623	5
14_32090502_32094386	3885	1
14_32090502_32117287	4033	1
1_47280241_47282459	1084	3
14_96833467_96860735	759	3
14_99458279_99465813	660	5
15_41668828_41669958	1131	3
15_41696075_41699159	1124	3
15_64499293_64500166	747	5
15_74655733_74675142	568	5
1_58506060_58536741	604	2
1_58506060_58539310	941	3
16_18841565_18845651	503	6
16_31090775_31091342	489	5
16_68121987_68126610	1298	3
17_20204333_20205912	1580	1
17_47663089_47668410	476	2
17_67945409_67975958	925	3
18_12999421_13019206	755	6
18_21765772_21779685	624	6
1_84865385_84866138	754	3
1_8655973_8656441	469	2
18_9182382_9221999	677	6
19_17101660_17102557	898	3
19_34451981_34467014	654	5
19_46918488_46937408	3826	1
20_35714185_35725155	576	6
20_41533050_41551360	577	6
20_47276314_47287284	732	6
20_56381433_56386533	516	5
20_62852317_62852353	1395	4
21_29321221_29329693	551	6
2_207976651_207977586	936	3
2_214767482_214781509	1173	3
22_20933779_20934244	466	6
2_222220140_222232283	471	6
22_41808875_41813822	241	2
22_45689712_45740538	279	4
22_45729425_45740538	445	6
22_50372020_50394135	374	2
2_99412731_99435941	646	5
3_125313308_125331238	566	6
3_142736379_142748460	460	2
3_158122103_158123991	322	3
3_56660731_56673725	314	2
3_8935871_8941804	623	6
4_112562371_112585725	544	5
4_148435104_148436862	1759	1
4_152411303_152412529	763	4
4_177353308_177360677	596	6
4_186706563_186709845	3283	1
4_1900626_1904378	789	5
4_51863437_51877854	318	2
4_55411614_55417985	585	5
4_76134175_76144473	643	6
5_123545417_123557564	536	2
5_168488602_168494650	534	5
5_178885614_178931326	2345	2
5_180261684_180280608	497	6
5_50399107_50411383	3570	4
5_94643273_94654752	630	6
6_13632370_13644729	659	2
6_158282263_158314268	1609	4
6_158312051_158314268	1609	4
6_161034259_161049979	1555	5
6_47283938_47286595	1147	3
6_4891713_4892379	667	6
6_79042843_79060818	411	6
6_89862126_89871388	5478	1
7_100023419_100024307	578	5
7_127373342_127377329	1837	1
7_129014979_129018157	432	5
7_129205203_129206587	604	5
7_152309966_152315338	460	5
7_155672867_155680908	445	5
7_24623666_24668660	703	5
7_39987599_40002031	1021	3
8_141253989_141254629	641	5
8_18765449_18804898	466	5
8_47279862_47294030	455	6
9_100498765_100516771	364	2
9_135881633_135883078	425	2
9_20819796_20823115	465	2
9_77214329_77227485	621	2
9_85618983_85633374	999	3
9_92256680_92269983	692	6
X_131743096_131794466	496	5
X_131749306_131794466	595	6
X_140783175_140784659	1299	1
X_148661908_148662768	861	5
