# Sets for Activities & Resources
# Here: products & machines
set Activities := Q W ;
set Resources := A B C D ;

# Params for Activities - value & max amount can do per activity
# Here: profit/unit & max demand per product
param:  Values  MaxActivity :=
    Q     55        125
    W     75         75;

# Params for Resources - maximum amount available per resource
# Here: max time available per machine
param MaxResource :=
A 2500
B 2500
C 2500
D 2500;

# Params for Resources & Activities
#   - amount of each Resource needed to do 1 Activity
# NOTE: to do 1 activity, need to do everything in column
#   - An activity uses all of them - it's and operation, not or
# Here: amount of time needed on each machine to create 1 unit of a product
param ResourceNeeds:  Q   W :=
                 A   20  15
                 B   20  25
                 C   25  10
                 D   15  10;
