circle_id	length	cluster_id
10_12081472_12091684	623	5
10_124942457_124943307	1185	1
10_31908172_31910563	794	3
10_5773842_5800705	490	5
10_68459104_68470163	645	5
10_7243558_7285954	684	6
10_7276892_7285954	434	3
10_94030683_94032252	1570	2
11_117152441_117163892	400	2
11_130260856_130261929	1074	6
1_117402186_117414831	472	5
1_117402186_117420649	553	5
1_117402186_117442325	601	5
11_33286413_33287511	1099	6
1_155438327_155459898	844	6
1_15872816_15876678	798	6
11_66639700_66640123	424	3
11_92352096_92355404	3309	2
1_20749723_20773610	655	5
12_100282943_100298175	508	5
12_1027748_1028572	825	6
12_104927973_104928694	722	6
12_116230533_116237705	238	1
12_1180540_1190052	614	5
12_1236769_1290012	429	5
12_1236769_1371977	574	5
1_22078429_22086866	476	3
1_224952670_224974153	682	3
1_224952670_225007544	777	3
1_226961377_226965737	664	5
1_232513857_232515608	1641	2
1_243545510_243843282	861	3
1_243613671_243843282	575	3
1_247155566_247159813	2603	1
1_247156406_247159813	2603	4
12_69251129_69262562	804	6
13_112516440_112527484	525	5
1_31915895_31919658	782	3
1_35358925_35361789	755	5
13_75560753_75569507	420	6
13_77719532_77753358	788	6
1_41070595_41075451	360	5
1_41113283_41143112	235	4
14_30877572_30880734	547	5
14_32090502_32094386	3885	2
14_32090502_32117287	4033	2
1_47280241_47282459	1084	6
14_96833467_96860735	759	3
14_99458279_99465813	660	5
15_32526813_32533368	916	3
15_41668828_41669958	1131	6
15_64499293_64500166	747	6
15_69210316_69261329	933	6
1_58506060_58539310	916	6
16_68121987_68123121	1135	6
16_68121987_68126610	1298	6
17_20204333_20205912	1580	2
17_4066447_4072756	564	5
18_12999421_13019206	755	3
18_21765772_21779685	607	5
18_21765772_21819646	922	6
1_84865385_84866138	754	6
1_8495063_8557523	583	5
19_34451981_34464131	564	3
20_35714185_35725155	592	5
20_62852317_62852353	1395	2
21_29321221_29329693	1836	2
2_189791790_189818180	602	3
2_207976651_207977586	936	6
2_214767482_214781509	1204	6
22_20933779_20934244	466	5
22_45729425_45740538	445	5
22_50372020_50394135	374	5
2_61522611_61533903	307	6
3_142736379_142748460	460	5
3_158122103_158123991	322	6
3_49967470_49975392	1439	6
3_56660731_56673725	208	3
3_8935871_8941804	623	3
4_1225360_1241519	597	3
4_152411303_152412529	763	4
4_177353308_177360677	596	5
4_185247294_185267155	662	5
4_186706563_186709845	3283	2
4_1900626_1904378	789	6
4_87046166_87047594	1021	6
4_87195324_87195690	367	6
5_123545417_123557564	536	5
5_168488602_168494650	534	5
5_178885614_178931326	2119	3
5_180261684_180280608	417	5
5_50399107_50411383	3575	4
5_65567513_65572286	702	6
5_69174877_69175537	378	5
5_74813840_74841679	637	5
5_79439010_79457018	522	3
5_94643273_94654752	630	3
6_158282263_158314268	1609	4
6_158312051_158314268	1609	4
6_18236452_18258405	647	3
6_47283938_47286595	1147	3
6_4891713_4892379	667	5
6_79042843_79060818	411	5
7_100023419_100024307	578	6
7_122113118_122133741	810	6
7_127373342_127377329	1837	2
7_135577796_135593192	786	6
7_24623666_24668660	703	5
7_39987599_40002031	1021	6
8_127890589_127890998	371	4
8_18765449_18804898	538	5
9_135881633_135883078	425	5
9_83678441_83686155	411	5
9_85669485_85712566	584	5
9_92256680_92269983	692	5
X_131743096_131794466	496	4
X_131749306_131785258	555	3
X_131749306_131794466	595	5
X_140783175_140784659	1299	2
X_14843660_14859334	1021	1
X_85247547_85270146	1028	3
