exon	relative_pos_in_circle	relative_pos_in_exon	coverage
1	1	1	8
1	2	2	8
1	3	3	8
1	4	4	8
1	5	5	8
1	6	6	8
1	7	7	8
1	8	8	8
1	9	9	8
1	10	10	8
1	11	11	8
1	12	12	8
1	13	13	8
1	14	14	8
1	15	15	8
1	16	16	8
1	17	17	8
1	18	18	8
1	19	19	8
1	20	20	8
1	21	21	8
1	22	22	8
1	23	23	8
1	24	24	8
1	25	25	8
1	26	26	8
1	27	27	8
1	28	28	8
1	29	29	8
1	30	30	8
1	31	31	8
1	32	32	8
1	33	33	8
1	34	34	8
1	35	35	8
1	36	36	8
1	37	37	8
1	38	38	8
1	39	39	8
1	40	40	8
1	41	41	8
1	42	42	8
1	43	43	8
1	44	44	8
1	45	45	7
1	46	46	7
1	47	47	7
1	48	48	7
1	49	49	7
1	50	50	7
1	51	51	7
1	52	52	7
1	53	53	7
1	54	54	6
1	55	55	6
1	56	56	6
1	57	57	6
1	58	58	5
1	59	59	5
1	60	60	5
1	61	61	5
1	62	62	5
1	63	63	5
1	64	64	5
1	65	65	4
1	66	66	4
1	67	67	4
1	68	68	4
1	69	69	4
1	70	70	4
1	71	71	4
1	72	72	4
1	73	73	4
1	74	74	4
1	75	75	4
1	76	76	4
1	77	77	4
1	78	78	4
1	79	79	4
1	80	80	4
1	81	81	4
1	82	82	4
1	83	83	4
1	84	84	4
1	85	85	4
1	86	86	4
1	87	87	4
1	88	88	4
1	89	89	4
1	90	90	4
1	91	91	4
1	92	92	4
1	93	93	4
1	94	94	4
1	95	95	4
1	96	96	4
1	97	97	4
1	98	98	4
1	99	99	4
1	100	100	4
1	101	101	4
1	102	102	4
1	103	103	4
1	104	104	4
1	105	105	4
1	106	106	4
1	107	107	4
1	108	108	4
1	109	109	4
1	110	110	4
1	111	111	4
1	112	112	4
1	113	113	4
1	114	114	4
1	115	115	4
1	116	116	4
1	117	117	4
1	118	118	4
1	119	119	4
1	120	120	4
1	121	121	4
1	122	122	4
1	123	123	4
1	124	124	4
1	125	125	4
1	126	126	4
1	127	127	4
1	128	128	4
1	129	129	4
1	130	130	4
1	131	131	4
1	132	132	4
1	133	133	4
1	134	134	4
1	135	135	4
2	136	1	3
2	137	2	3
2	138	3	3
2	139	4	3
2	140	5	3
2	141	6	3
2	142	7	3
2	143	8	3
2	144	9	3
2	145	10	3
2	146	11	3
2	147	12	3
2	148	13	3
2	149	14	3
2	150	15	3
2	151	16	3
2	152	17	3
2	153	18	3
2	154	19	3
2	155	20	3
2	156	21	3
2	157	22	3
2	158	23	3
2	159	24	3
2	160	25	3
2	161	26	3
2	162	27	3
2	163	28	3
2	164	29	3
2	165	30	3
2	166	31	3
2	167	32	3
2	168	33	3
2	169	34	3
2	170	35	3
2	171	36	3
2	172	37	3
2	173	38	3
2	174	39	3
2	175	40	3
2	176	41	3
2	177	42	3
2	178	43	3
2	179	44	3
2	180	45	3
2	181	46	3
2	182	47	3
2	183	48	3
2	184	49	3
2	185	50	3
2	186	51	3
2	187	52	3
2	188	53	3
2	189	54	3
2	190	55	3
2	191	56	2
2	192	57	2
2	193	58	2
2	194	59	2
2	195	60	2
2	196	61	2
2	197	62	2
2	198	63	2
2	199	64	2
2	200	65	2
2	201	66	2
2	202	67	1
2	203	68	1
2	204	69	1
2	205	70	1
2	206	71	1
2	207	72	1
2	208	73	1
2	209	74	1
2	210	75	0
2	211	76	0
2	212	77	0
2	213	78	0
2	214	79	0
2	215	80	0
2	216	81	0
2	217	82	0
2	218	83	0
2	219	84	0
2	220	85	0
2	221	86	0
2	222	87	0
2	223	88	0
2	224	89	0
2	225	90	0
2	226	91	0
2	227	92	0
2	228	93	0
2	229	94	0
2	230	95	0
2	231	96	0
2	232	97	0
2	233	98	0
2	234	99	0
2	235	100	0
2	236	101	0
2	237	102	0
2	238	103	0
2	239	104	0
2	240	105	0
2	241	106	0
2	242	107	0
2	243	108	0
2	244	109	0
2	245	110	0
2	246	111	0
2	247	112	0
2	248	113	0
2	249	114	0
2	250	115	0
2	251	116	0
2	252	117	0
2	253	118	0
2	254	119	0
2	255	120	0
2	256	121	0
2	257	122	0
2	258	123	0
2	259	124	0
2	260	125	0
2	261	126	0
2	262	127	0
2	263	128	0
2	264	129	0
2	265	130	0
2	266	131	0
2	267	132	0
2	268	133	0
2	269	134	0
2	270	135	0
2	271	136	0
2	272	137	0
2	273	138	0
2	274	139	0
2	275	140	0
2	276	141	0
2	277	142	0
2	278	143	0
2	279	144	0
2	280	145	0
2	281	146	0
2	282	147	0
2	283	148	0
2	284	149	0
2	285	150	0
2	286	151	0
2	287	152	0
2	288	153	0
2	289	154	0
2	290	155	0
2	291	156	0
2	292	157	0
2	293	158	0
2	294	159	0
2	295	160	0
2	296	161	0
